"Impact","CVE Identifier","TITLE","TYPE","PUBLISHED","UPDATED"
"High","CVE-2022-26845, CVE-2022-27497, CVE-2022-29893, CVE-2021-33159, CVE-2022-29466, CVE-2022-29515, CVE-2022-26006, CVE-2022-21198","DSA-2022-312: Dell Client Security Update for Intel November 2022.3 IPU Vulnerabilities","Advisory","08 Nov 2022","11 Jan 2023"
"High","CVE-2022-41974","DSA-2023-006: Dell Container Storage Modules Security Update for a Multipath-tools Vulnerability.","Advisory","11 Jan 2023","11 Jan 2023"
"High","CVE-2022-31680, CVE-2022-31681, CVE-2022-31697, CVE-2022-31698, CVE-2022-31696, CVE-2022-31699","DSA-2022-322: Dell Enterprise Hybrid Cloud Security Update for VMware Vulnerabilities","Advisory","21 Nov 2022","10 Jan 2023"
"High","CVE-2021-28211, CVE-2021-28210, CVE-2021-0154, CVE-2021-0153, CVE-2021-33123, CVE-2021-0190, CVE-2021-33124, CVE-2021-0155, CVE-2021-0144, CVE-2021-0092, CVE-2021-0099, CVE-2021-0103, CVE-2021-0107, CVE-2021-0111, CVE-2021-0114, CVE-2021-0115, CVE-2021-0116, CVE-2021-0117, CVE-2021-0118, CVE-2021-0060, CVE-2020-0591, CVE-2020-0592, CVE-2020-8764, CVE-2020-8738, CVE-2020-12357, CVE-2020-12360, CVE-2020-8740","DSA-2022-199: Dell Avamar Security Update for Avamar Data Storage GEN4T FIRMWARE 18.11 BUNDLE Security Update Vulnerabilities","Advisory","19 Dec 2022","10 Jan 2023"
"High","CVE-2022-4436, CVE-2022-4437, CVE-2022-4438, CVE-2022-4439, CVE-2022-4440, CVE-2022-45403, CVE-2022-45404, CVE-2022-45405, CVE-2022-45406, CVE-2022-45408, CVE-2022-45409, CVE-2022-31129","DSA-2023-003: Dell Hybrid Client Security Update for Multiple Vulnerabilities","Advisory","05 Jan 2023","09 Jan 2023"
"High","CVE-2022-27664","DSA-2022-328: Dell Container Storage Modules Security Update for a Denial of Service Vulnerability","Advisory","04 Jan 2023","04 Jan 2023"
"High","CVE-2022-29466","DSA-2022-353: Dell PowerEdge T30 Mini Tower Server Security Update for Intel November 2022 Security Advisories (2022.3 IPU)","Advisory","09 Dec 2022","04 Jan 2023"
"Critical","CVE-2022-25315, CVE-2021-43527, CVE-2021-41303, CVE-2021-31535, CVE-2021-3712, CVE-2020-14343, CVE-2016-10745","DSA-2022-356: Dell PowerStore Family Security Update for Multiple Vulnerabilities","Advisory","03 Jan 2023","03 Jan 2023"
"High","CVE-2022-46754, CVE-2022-46755, CVE-2022-46677, CVE-2022-46678, CVE-2022-46676, CVE-2022-46675, CVE-2022-34169, CVE-2022-25647, CVE-2020-26870","DSA-2022-329: Dell Wyse Management Suite Security Update for Multiple Vulnerabilities","Advisory","06 Dec 2022","03 Jan 2023"
"Critical","CVE-2022-32208, CVE-2022-32207, CVE-2022-32206, CVE-2022-32205, CVE-2022-30115, CVE-2022-27782, CVE-2022-27781, CVE-2022-27780, CVE-2022-27779, CVE-2022-27778, CVE-2022-37434, CVE-2022-40674, CVE-2022-46679","DSA-2022-323: Dell PowerScale OneFS Security Updates for Multiple Security Vulnerabilities","Advisory","22 Dec 2022","22 Dec 2022"
"High","CVE-2022-45100, CVE-2022-45099, CVE-2022-23090, CVE-2022-45101, CVE-2022-45095, CVE-2022-45097, CVE-2022-45098, CVE-2022-45096, CVE-2021-45444, CVE-2021-33503, CVE-2020-7212, CVE-2020-26137","DSA-2022-295: Dell PowerScale OneFS Security Updates for Multiple Security Vulnerabilities","Advisory","13 Dec 2022","22 Dec 2022"
"High","CVE-2022-34464","DSA-2022-308: Dell Display Manager 1.5 Security Update for a Permissions Vulnerability","Advisory","13 Dec 2022","20 Dec 2022"
"Critical","CVE-2017-0386, CVE-2021-28861, CVE-2021-46848, CVE-2021-36690, CVE-2021-46828, CVE-2022-2519, CVE-2022-2795, CVE-2022-2867, CVE-2022-2868, CVE-2022-2869, CVE-2022-2928, CVE-2022-3239, CVE-2022-3515, CVE-2022-32221, CVE-2022-34266, CVE-2022-34526, CVE-2022-35737, CVE-2022-38177, CVE-2022-38178, CVE-2022-39028, CVE-2022-39188, CVE-2022- 40303, CVE-2022-40304, CVE-2022-41218, CVE-2022-43680, CVE-2022-21619, CVE-2022-21624, CVE-2022-21626, CVE-2022-21628, CVE-2022-2097, CVE-2022-21589, CVE-2022-21592, CVE-2022-21595, CVE-2022-21608, CVE-2022-21617, CVE-2022-42252","DSA-2022-352: Dell SRM and Dell Storage Monitoring and Reporting Security Update for Multiple Third-Party Component Vulnerabilities","Advisory","20 Dec 2022","20 Dec 2022"
"Critical","CVE-2013-7459, CVE-2015-20107, CVE-2015-20107, CVE-2015-7501, CVE-2016-1000027, CVE-2016-1000338, CVE-2016-1000340, CVE-2016-1000340, CVE-2016-1000342, CVE-2016-1000343, CVE-2016-1000344, CVE-2016-1000352, CVE-2016-5180, CVE-2017-12613, CVE-2017-12613, CVE-2017-15095, CVE-2017-15708, CVE-2017-17485, CVE-2017-20052, CVE-2017-6004, CVE-2017-6004, CVE-2017-6363, CVE-2017-7186, CVE-2017-7186, CVE-2018-1000156, CVE-2018-1000180, CVE-2018-11307, CVE-2018-11770, CVE-2018-11793, CVE-2018-12023, CVE-2018-1330, CVE-2018-14553, CVE-2018-14718, CVE-2018-14719, CVE-2018-14720, CVE-2018-14721, CVE-2018-19360, CVE-2018-19361, CVE-2018-19362, CVE-2018-20969, CVE-2018-25009, CVE-2018-25010, CVE-2018-25011, CVE-2018-25012, CVE-2018-25013, CVE-2018-25014, CVE-2018-25032, CVE-2018-25032, CVE-2018-5968, CVE-2018-6951, CVE-2018-6952, CVE-2018-7489, CVE-2018-8012, CVE-2019-0204, CVE-2019-0205, CVE-2019-0210, CVE-2019-10160, CVE-2019-10172, CVE-2019-10172, CVE-2019-12384, CVE-2019-13115, CVE-2019-13638, CVE-2019-14379, CVE-2019-14439, CVE-2019-14540, CVE-2019-14892, CVE-2019-14893, CVE-2019-16056, CVE-2019-16335, CVE-2019-16869, CVE-2019-16942, CVE-2019-16943, CVE-2019-17267, CVE-2019-17498, CVE-2019-17531, CVE-2019-17571, CVE-2019-18276, CVE-2019-18276, CVE-2019-19906, CVE-2019-20330, CVE-2019-20444, CVE-2019-20445, CVE-2019-20838, CVE-2019-20907, CVE-2019-5736, CVE-2019-5736, CVE-2019-8457, CVE-2019-9512, CVE-2019-9948, CVE-2020-10663, CVE-2020-10672, CVE-2020-10673, CVE-2020-10968, CVE-2020-10969, CVE-2020-11111, CVE-2020-11112, CVE-2020-11113, CVE-2020-11612, CVE-2020-11619, CVE-2020-11620, CVE-2020-13936, CVE-2020-13949, CVE-2020-14060, CVE-2020-14061, CVE-2020-14062, CVE-2020-14195, CVE-2020-1752, CVE-2020-24616, CVE-2020-24750, CVE-2020-25638, CVE-2020-25649, CVE-2020-26116, CVE-2020-27619, CVE-2020-28196, CVE-2020-28491, CVE-2020-35490, CVE-2020-35491, CVE-2020-35728, CVE-2020-36179, CVE-2020-36180, CVE-2020-36181, CVE-2020-36182, CVE-2020-36183, CVE-2020-36184, CVE-2020-36185, CVE-2020-36186, CVE-2020-36187, CVE-2020-36188, CVE-2020-36189, CVE-2020-36242, CVE-2020-36328, CVE-2020-36329, CVE-2020-36330, CVE-2020-36331, CVE-2020-36332, CVE-2020-36518, CVE-2020-6096, CVE-2020-7212, CVE-2020-7238, CVE-2020-7598, CVE-2020-8840, CVE-2020-9493, CVE-2020-9493, CVE-2020-9546, CVE-2020-9547, CVE-2020-9548, CVE-2021-20190, CVE-2021-20197, CVE-2021-20231, CVE-2021-20231, CVE-2021-20232, CVE-2021-20232, CVE-2021-23358, CVE-2021-25220, CVE-2021-28691, CVE-2021-29921, CVE-2021-32840, CVE-2021-33036, CVE-2021-33175, CVE-2021-3326, CVE-2021-33560, CVE-2021-33813, CVE-2021-33928, CVE-2021-33929, CVE-2021-33930, CVE-2021-33938, CVE-2021-3520, CVE-2021-3520, CVE-2021-35942, CVE-2021-36222, CVE-2021-36770, CVE-2021-36770, CVE-2021-3711, CVE-2021-3712, CVE-2021-37136, CVE-2021-37137, CVE-2021-3737, CVE-2021-3737, CVE-2021-3739, CVE-2021-37404, CVE-2021-38001, CVE-2021-38001, CVE-2021-38007, CVE-2021-3847, CVE-2021-38604, CVE-2021-40145, CVE-2021-4061, CVE-2021-4061, CVE-2021-40690, CVE-2021-4078, CVE-2021-4078, CVE-2021-4102, CVE-2021-4102, CVE-2021-4104, CVE-2021-41073, CVE-2021-41092, CVE-2021-4157, CVE-2021-4197, CVE-2021-4202, CVE-2021-42248, CVE-2021-42377, CVE-2021-42378, CVE-2021-42379, CVE-2021-42380, CVE-2021-42381, CVE-2021-42382, CVE-2021-42383, CVE-2021-42384, CVE-2021-42385, CVE-2021-42386, CVE-2021-42575, CVE-2021-43045, CVE-2021-43138, CVE-2021-43267, CVE-2021-43616, CVE-2021-43816, CVE-2021-44906, CVE-2021-45078, CVE-2021-45960, CVE-2021-46143, CVE-2022-0185, CVE-2022-0330, CVE-2022-0391, CVE-2022-0435, CVE-2022-0457, CVE-2022-0470, CVE-2022-0500, CVE-2022-0516, CVE-2022-0778, CVE-2022-0778, CVE-2022-0891, CVE-2022-0905, CVE-2022-0943, CVE-2022-0995, CVE-2022-0998, CVE-2022-1011, CVE-2022-1048, CVE-2022-1055, CVE-2022-1154, CVE-2022-1160, CVE-2022-1292, CVE-2022-1292, CVE-2022-1353, CVE-2022-1381, CVE-2022-1586, CVE-2022-1586, CVE-2022-1587, CVE-2022-1616, CVE-2022-1619, CVE-2022-1620, CVE-2022-1621, CVE-2022-1629, CVE-2022-1652, CVE-2022-1664, CVE-2022-1664, CVE-2022-1679, CVE-2022-1733, CVE-2022-1734, CVE-2022-1735, CVE-2022-1769, CVE-2022-1785, CVE-2022-1786, CVE-2022-1796, CVE-2022-1851, CVE-2022-1882, CVE-2022-1886, CVE-2022-1897, CVE-2022-1898, CVE-2022-1927, CVE-2022-1942, CVE-2022-1968, CVE-2022-1996, CVE-2022-1998, CVE-2022-2000, CVE-2022-2042, CVE-2022-2097, CVE-2022-21235, CVE-2022-21499, CVE-2022-22576, CVE-2022-22576, CVE-2022-22822, CVE-2022-22823, CVE-2022-22824, CVE-2022-22825, CVE-2022-22826, CVE-2022-22827, CVE-2022-23218, CVE-2022-23219, CVE-2022-23222, CVE-2022-23302, CVE-2022-23305, CVE-2022-23307, CVE-2022-23307, CVE-2022-23648, CVE-2022-23852, CVE-2022-23913, CVE-2022-23990, CVE-2022-24407, CVE-2022-24407, CVE-2022-24765, CVE-2022-24903, CVE-2022-25235, CVE-2022-25236, CVE-2022-25314, CVE-2022-25315, CVE-2022-25647, CVE-2022-25647, CVE-2022-26488, CVE-2022-27223, CVE-2022-27313, CVE-2022-27404, CVE-2022-27405, CVE-2022-27406, CVE-2022-27666, CVE-2022-27775, CVE-2022-27775, CVE-2022-27780, CVE-2022-27781, CVE-2022-27781, CVE-2022-27782, CVE-2022-27782, CVE-2022-28356, CVE-2022-28388, CVE-2022-28389, CVE-2022-28390, CVE-2022-28391, CVE-2022-28391, CVE-2022-28796, CVE-2022-28805, CVE-2022-28893, CVE-2022-29078, CVE-2022-29155, CVE-2022-29156, CVE-2022-29162, CVE-2022-29217, CVE-2022-29581, CVE-2022-29582, CVE-2022-29583, CVE-2022-29885, CVE-2022-29885, CVE-2022-29968, CVE-2022-30065, CVE-2022-30594, CVE-2022-30781, CVE-2022-32207, CVE-2022-32250, CVE-2022-34169","DSA-2022-349: Dell Streaming Data Platform Security Update for Multiple Third-Party Component Vulnerabilities","Advisory","20 Dec 2022","20 Dec 2022"
"High","CVE-2022-34396","DSA-2022-321: Dell OpenManage Server Administrator Security Update for DLL Injection Vulnerability","Advisory","19 Dec 2022","19 Dec 2022"
"High","CVE-2022-34405","DSA-2022-316: Dell Client Security Update for a Realtek High Definition Audio Driver Vulnerability","Advisory","23 Nov 2022","19 Dec 2022"
"Medium","CVE-2022-32482","DSA-2022-326: Dell Client Security Update for a Dell Client BIOS Vulnerability","Advisory","23 Nov 2022","16 Dec 2022"
"High","CVE-2022-34403, CVE-2022-34400","DSA-2022-327: Dell Client Security Update for Multiple Dell Client BIOS Vulnerabilities","Advisory","23 Nov 2022","16 Dec 2022"
"Medium","CVE-2022-45102","DSA-2022-348: Dell Data Protection Central Security Update for Proprietary Code Vulnerability","Advisory","12 Dec 2022","15 Dec 2022"
"Medium","CVE-2022-22950","DSA-2022-350: Dell NetWorker Security Update for Spring Framework Vulnerability","Advisory","06 Dec 2022","15 Dec 2022"
"N/A","CVE-2021-44228","Dell Response to Apache Log4j Remote Code Execution Vulnerability (CVE-2021-44228)","Informational","13 Dec 2021","14 Dec 2022"
"Medium","CVE-2022-24410","DSA-2022-325: Dell Client Security Update for Dell Client BIOS","Advisory","23 Nov 2022","13 Dec 2022"
"High","CVE-2022-34459, CVE-2022-34458","DSA-2022-298: Dell Command | Update, Dell Update, and Alienware Update Security Update for Multiple Vulnerabilities","Advisory","02 Nov 2022","12 Dec 2022"
"Critical","CVE-2013-5123, CVE-2014-8991, CVE-2015-2296, CVE-2015-8985, CVE-2016-3709, CVE-2016-6153, CVE-2020-35538, CVE-2021-20271, CVE-2021-28861, CVE-2021-3421, CVE-2021-46828, CVE-2021-46848, CVE-2022-20008, CVE-2022-2503, CVE-2022-2663, CVE-2022-2795, CVE-2022-2928, CVE-2022-2929, CVE-2022-32221, CVE-2022-32296, CVE-2022-3239, CVE-2022-3303, CVE-2022-3515, CVE-2022-3554, CVE-2022-3555, CVE-2022-38177, CVE-2022-38178, CVE-2022-39188, CVE-2022-40303, CVE-2022-40304, CVE-2022-40674, CVE-2022-41218, CVE-2022-41848, CVE-2022-41973, CVE-2022-43680","DSA-2022-330: Dell Data Protection Central Security Update for Multiple Third-Party Component Vulnerabilities","Advisory","08 Dec 2022","12 Dec 2022"
"High","CVE-2022-34443","DSA-2022-281: Dell Rugged Control Center Security Update for an Improper Input Validation Vulnerability","Advisory","05 Dec 2022","08 Dec 2022"
"High","CVE-2022-0778","DSA-2022-277: Dell Client Platform Security BIOS Update for OpenSSL Vulnerability","Advisory","23 Nov 2022","07 Dec 2022"
"Medium","CVE-2022-34305","DSA-2022-341: Dell NetWorker Security Update for an Apache Tomcat Vulnerability","Advisory","05 Dec 2022","05 Dec 2022"
"Critical","CVE-2022-2588, CVE-2022-2639, CVE-2022-2977, CVE-2022-3028, CVE-2022-20368, CVE-2022-20369, CVE-2022-21385, CVE-2022-26373, CVE-2022-29581, CVE-2022-36879, CVE-2022-21233, CVE-2022-37434, CVE-2022-29154, CVE-2022-31081, CVE-2022-35252, CVE-2022-31676, CVE-2021-4203, CVE-2020-29362, CVE-2020-12825, CVE-2020-12762, CVE-2020-21913, CVE-2020-36516, CVE-2017-0386","DSA-2022-342: Dell NetWorker vProxy Security Update for Multiple Vulnerabilities","Advisory","05 Dec 2022","05 Dec 2022"
"Medium","CVE-2021-46827","DSA-2022-343: Dell NetWorker Security Update for an  Oxygen XML WebHelp Vulnerability","Advisory","05 Dec 2022","05 Dec 2022"
"Critical","CVE-2021-44228, CVE-2021-45046, CVE-2021-45105","DSA-2021-280: Dell NetWorker Security Update for Apache?Log4j Remote Code Execution Vulnerability (CVE-2021-44228, CVE-2021-45046, and CVE-2021-45105)","Advisory","15 Dec 2021","05 Dec 2022"
"Critical","CVE-2022-24422, CVE-2021-28210, CVE-2021-28211","DSA-2022-344: Dell Avamar ADS GEN5A MARCH 2022 BLOCK-RELEASE Security Update","Advisory","05 Dec 2022","05 Dec 2022"
"Critical","CVE-2020-3962, CVE-2020-3963, CVE-2020-3964, CVE-2020-3965, CVE-2020-3966, CVE-2020-3967, CVE-2020-3968, CVE-2020-3969, CVE-2020-3970, CVE-2020-3953, CVE-2020-3954, CVE-2019-18197, CVE-2020-2754, CVE-2020-2755, CVE-2020-2756, CVE-2020-2757, CVE-2020-2764, CVE-2020-2767, CVE-2020-2773, CVE-2020-14664, CVE-2020-14583, CVE-2020-14593, CVE-2015-9096, CVE-2016-7798, CVE-2017-0898, CVE-2017-0899, CVE-2017-0900, CVE-2017-0901, CVE-2017-0902, CVE-2017-0903, CVE-2017-10784, CVE-2017-14033, CVE-2017-14064, CVE-2017-17405, CVE-2017-17742, CVE-2017-17790, CVE-2017-9103, CVE-2017-9104, CVE-2017-9105, CVE-2017-9109, CVE-2017-9106, CVE-2017-9107, CVE-2017-9108, CVE-2017-9228, CVE-2017-9229, CVE-2018-1000073, CVE-2018-1000074, CVE-2018-1000075, CVE-2018-1000076, CVE-2018-1000077, CVE-2018-1000078, CVE-2018-100007, CVE-2018-1000199, CVE-2018-16395, CVE-2018-16396, CVE-2018-18384, CVE-2018-6914, CVE-2018-8777, CVE-2018-8778, CVE-2018-8779, CVE-2018-8780, CVE-2018-8956, CVE-2019-15845, CVE-2019-16201, CVE-2019-16254, CVE-2019-16255, CVE-2019-18197, CVE-2019-18348, CVE-2019-19462, CVE-2019-19768, CVE-2019-19770, CVE-2019-20806, CVE-2019-20807, CVE-2019-20812, CVE-2019-3701, CVE-2019-8320, CVE-2019-8321, CVE-2019-8322, CVE-2019-8323, CVE-2019-8324, CVE-2019-8325, CVE-2019-9455, CVE-2019-9458, CVE-2019-9674, CVE-2020-0543, CVE-2020-10029, CVE-2020-10663, CVE-2020-10690, CVE-2020-10711, CVE-2020-10720, CVE-2020-10732, CVE-2020-10751, CVE-2020-10757, CVE-2020-10942, CVE-2020-11494, CVE-2020-11669, CVE-2020-11868, CVE-2020-12114, CVE-2020-12243, CVE-2020-12464, CVE-2020-12652, CVE-2020-12653, CVE-2020-12654, CVE-2020-12655, CVE-2020-12656, CVE-2020-12657, CVE-2020-12768, CVE-2020-12769, CVE-2020-13143, CVE-2020-13817, CVE-2020-15025, CVE-2020-1751, CVE-2020-1752, CVE-2020-3898, CVE-2020-8492, CVE-2020-8616, CVE-2020-8617, CVE-2020-8647, CVE-2020-8649, CVE-2020-8834, CVE-2020-9383, CVE-2019-18197, CVE-2020-2754, CVE-2020-2755, CVE-2020-2756, CVE-2020-2757, CVE-2020-2764, CVE-2020-2767, CVE-2020-2773, CVE-2020-14664, CVE-2020-14583, CVE-2020-14593, CVE-2019-17569, CVE-2020-1935, CVE-2020-1938, CVE-2018-8014, CVE-2018-8034, CVE-2018-8037, CVE-2020-0548, CVE-2020-0549, CVE-2020-5366, CVE-2020-3976","DSA-2020-175: VxRail Appliance Security Update for Multiple Third-Party Component Vulnerabilities","Advisory","29 Jul 2020","02 Dec 2022"
"High","CVE-2022-3602, CVE-2022-3786","DSA-2022-333: Dell Command | Configure for Linux OS Security Update for Multiple OpenSSL Vulnerabilities","Advisory","29 Nov 2022","02 Dec 2022"
"High","CVE-2022-3602, CVE-2022-3786","DSA-2022-331: Dell Command | Integration Suite for System Center Security Update for Multiple OpenSSL Vulnerabilities","Advisory","29 Nov 2022","02 Dec 2022"
"High","CVE-2022-3602, CVE-2022-3786","DSA-2022-332: Dell Command | Intel vPro Out of Band Security Update for Multiple OpenSSL Vulnerabilities","Advisory","29 Nov 2022","02 Dec 2022"
"Critical","CVE-2022-21248, CVE-2022-21271, CVE-2022-21277, CVE-2022-21282, CVE-2022-21283, CVE-2022-21291, CVE-2022-21293, CVE-2022-21294, CVE-2022-21296, CVE-2022-21299, CVE-2022-21305, CVE-2022-21340, CVE-2022-21341, CVE-2022-21349, CVE-2022-21360, CVE-2022-21365, CVE-2022-21366, CVE-2022-22822, CVE-2022-22823, CVE-2022-22824, CVE-2022-22825, CVE-2022-22826, CVE-2022-22827, CVE-2021-20197, CVE-2021-0129, CVE-2021-0512, CVE-2021-0605, CVE-2021-0941, CVE-2021-20322, CVE-2021-22543, CVE-2021-22555, CVE-2021-31916, CVE-2021-33200, CVE-2021-33624, CVE-2021-33909, CVE-2021-34556, CVE-2021-34693, CVE-2021-34981, CVE-2021-3542, CVE-2021-4156, CVE-2021-33910, CVE-2021-35477, CVE-2021-3609, CVE-2021-3640, CVE-2021-3653, CVE-2021-3655, CVE-2021-3656, CVE-2021-3659, CVE-2021-3679, CVE-2021-3715, CVE-2021-37159, CVE-2021-3732, CVE-2021-3744, CVE-2021-3752, CVE-2021-3753, CVE-2021-37576, CVE-2021-3759, CVE-2021-3760, CVE-2021-3764, CVE-2021-3772, CVE-2021-38160, CVE-2021-38198, CVE-2021-38204, CVE-2021-40490, CVE-2021-41864, CVE-2021-42008, CVE-2021-42252, CVE-2021-42739, CVE-2021-20284, CVE-2021-20294, CVE-2021-41617, CVE-2021-3487, CVE-2021-33574, CVE-2021-45960, CVE-2021-46143, CVE-2021-45417, CVE-2021-44224, CVE-2021-44790, CVE-2021-3468, CVE-2020-16590, CVE-2020-14155, CVE-2020-16591, CVE-2020-15862, CVE-2020-16592, CVE-2020-16593, CVE-2020-16598, CVE-2020-0429, CVE-2020-12770, CVE-2020-24588, CVE-2020-26558, CVE-2020-36385, CVE-2020-36386, CVE-2020-3702, CVE-2020-16599, CVE-2020-35448, CVE-2020-14344, CVE-2020-14145, CVE-2020-35493, CVE-2020-35496, CVE-2020-35507, CVE-2019-20838, CVE-2019-20386, CVE-2019-12972, CVE-2019-3874, CVE-2019-3900, CVE-2019-14250, CVE-2019-14444, CVE-2019-17450, CVE-2019-17451, CVE-2019-9074, CVE-2019-9075, CVE-2019-9077, CVE-2018-18384, CVE-2018-13405, CVE-2018-9517, CVE-2017-6004, CVE-2017-7186, CVE-2017-7244, CVE-2017-7245, CVE-2017-7246","DSA-2022-130: Dell EMC Elastic Cloud Storage Security Update for Third-Party Vulnerabilities","Advisory","19 May 2022","30 Nov 2022"
"High","CVE-2022-0778, CVE-2022-22965, CVE-2021-3711, CVE-2021-3712, CVE-2021-21248, CVE-2021-21282, CVE-2021-21283, CVE-2021-21293, CVE-2021-21294, CVE-2021-21296, CVE-2021-26373, CVE-2021-26347, CVE-2021-26376, CVE-2021-26375, CVE-2021-26378, CVE-2021-26372, CVE-2021-26348, CVE-2021-26342, CVE-2021-26388, CVE-2021-26349, CVE-2021-26364, CVE-2021-26312, CVE-2021-26350","DSA-2022-112: DELL EMC PowerFlex Dell Software and Dell EMC PowerFlex 15G Based Custom Node, 14G Based VxFlex Ready Node, and 13G Based ScaleIO Ready Node Security Update for Multiple Vulnerabilities","Advisory","19 May 2022","30 Nov 2022"
"High","CVE-2022-29098","DSA-2022-082: Dell EMC PowerScale OneFS Security Weak Password Requirement Vulnerability","Advisory","26 May 2022","30 Nov 2022"
"Critical","CVE-2022-24411, CVE-2022-24412, CVE-2022-23161, CVE-2022-23160, CVE-2022-23159, CVE-2022-23163, CVE-2022-24413, CVE-2017-12613","DSA-2022-024: Dell EMC PowerScale OneFS Security Update for Multiple Vulnerabilities","Advisory","04 Feb 2022","30 Nov 2022"
"Medium","CVE-2022-23852, CVE-2022-23990, CVE-2022-25235, CVE-2022-25236, CVE-2022-25315, CVE-2022-25314, CVE-2022-25313, CVE-2022-22825, CVE-2022-22826, CVE-2022-22827, CVE-2022-22822, CVE-2022-22823, CVE-2022-22824, CVE-2022-23308, CVE-2022-33932, CVE-2022-31238, CVE-2022-31239, CVE-2022-32480, CVE-2022-31237, CVE-2021-46143, CVE-2021-45960, CVE-2021-3541, CVE-2021-3537, CVE-2021-3518, CVE-2021-3517, CVE-2021-3516, CVE-2020-7595, CVE-2020-24977, CVE-2019-15903, CVE-2019-20388, CVE-2018-20843, CVE-2013-0340","DSA-2022-149: Dell EMC PowerScale OneFS Security Update for Multiple Vulnerabilities","Advisory","30 Jun 2022","30 Nov 2022"
"High","CVE-2022-29466, CVE-2022-29515, CVE-2022-21198","DSA-2022-280: Dell PowerEdge Server Security Update for Intel November 2022 Security Advisories (2022.3 IPU)","Advisory","08 Nov 2022","29 Nov 2022"
"Medium","CVE-2021-33061","DSA-2022-129: Dell PowerEdge Server Security Update for an Intel 82599 Ethernet Series Vulnerability","Advisory","20 Jun 2022","29 Nov 2022"
"Critical","CVE-2022-22963, CVE-2022-22965, CVE-2022-24422, CVE-2021-36347, CVE-2021-36348, CVE-2021-28210, CVE-2021-28211, CVE-2021-3712, CVE-2021-0060, CVE-2021-0091, CVE-2021-0092, CVE-2021-0093, CVE-2021-0099, CVE-2021-0103, CVE-2021-0107, CVE-2021-0111, CVE-2021-0114, CVE-2021-0115, CVE-2021-0116, CVE-2021-0117, CVE-2021-0118, CVE-2021-0119, CVE-2021-0124, CVE-2021-0125, CVE-2021-0127, CVE-2021-0147, CVE-2019-14584","DSA-2022-137: Dell VxRail Security Update for Multiple Third-Party Component Vulnerabilities","Advisory","25 May 2022","29 Nov 2022"
"Critical","See Advisory.","DSA-2021-098: Dell VxRail Appliance Security Update for Multiple Vulnerabilities","Advisory","10 May 2021","22 Nov 2022"
"Critical","CVE-2016-10228, CVE-2018-13139, CVE-2018-14679, CVE-2018-14681, CVE-2018-14682, CVE-2018-19432, CVE-2018-19758, CVE-2019-20838, CVE-2020-12049, CVE-2020-12825, CVE-2020-14155, CVE-2020-23903, CVE-2020-26137, CVE-2020-29361, CVE-2020-3702, CVE-2020-8927, CVE-2021-44832, CVE-2021-45105, CVE-2021-44228, CVE-2021-45046, CVE-2021-22048, CVE-2021-40438, CVE-2021-22045, CVE-2021-0941, CVE-2021-20266, CVE-2021-20271, CVE-2021-20294, CVE-2021-20322, CVE-2021-21781, CVE-2021-21996, CVE-2021-22543, CVE-2021-22946, CVE-2021-22947, CVE-2021-23214, CVE-2021-2341, CVE-2021-2369, CVE-2021-2388, CVE-2021-23222, CVE-2021-30465, CVE-2021-31810, CVE-2021-31916, CVE-2021-3246, CVE-2021-32760, CVE-2021-33574, CVE-2021-33910, CVE-2021-3421, CVE-2021-3426, CVE-2021-34556, CVE-2021-34981, CVE-2021-35477, CVE-2021-35550, CVE-2021-35556, CVE-2021-35559, CVE-2021-35561, CVE-2021-35564, CVE-2021-35565, CVE-2021-35567, CVE-2021-35578, CVE-2021-35586, CVE-2021-35603, CVE-2021-3572, CVE-2021-35942, CVE-2021-36222, CVE-2021-3640, CVE-2021-3653, CVE-2021-3656, CVE-2021-3659, CVE-2021-3669, CVE-2021-3677, CVE-2021-3679, CVE-2021-3711, CVE-2021-3712, CVE-2021-37159, CVE-2021-3732, CVE-2021-3733, CVE-2021-3737, CVE-2021-3739, CVE-2021-3743, CVE-2021-3744, CVE-2021-3752, CVE-2021-3753, CVE-2021-37576, CVE-2021-3759, CVE-2021-37600, CVE-2021-3764, CVE-2021-37750, CVE-2021-38160, CVE-2021-38198, CVE-2021-38204, CVE-2021-38205, CVE-2021-38207, CVE-2021-39537, CVE-2021-40490, CVE-2021-4104, CVE-2021-41089, CVE-2021-41091, CVE-2021-41092, CVE-2021-41103, CVE-2021-41990, CVE-2021-41991, CVE-2021-43389, CVE-2021-43527, CVE-2021-43618, CVE-2021-43784, CVE-2021-30640, CVE-2021-33037","DSA-2022-022: Dell EMC VxRail Security Update for Multiple Third-Party Component Vulnerabilities","Advisory","01 Feb 2022","22 Nov 2022"
"Critical","CVE-2022-42889, CVE-2022-3602, CVE-2022-3786","DSA-2022-311: Dell Virtual Storage Integrator for VMware vSphere Client Security Update for Multiple Third-Party Component Vulnerabilities","Advisory","22 Nov 2022","22 Nov 2022"
"Medium","CVE-2021-33128, CVE-2021-33126","DSA-2022-318: Dell Client Security Update for Intel Ethernet Controllers and Adapters Vulnerabilities","Advisory","18 Nov 2022","22 Nov 2022"
"High","CVE-2022-34457, CVE-2022-3786, CVE-2022-3602","DSA-2022-297: Dell Command | Configure Security Update for Multiple Vulnerabilities","Advisory","21 Nov 2022","22 Nov 2022"
